case_id,reference,candidate,dtype,batch_size,num_heads,seq_len,head_dim,mask_kind,max_abs_error,mean_abs_error,mse,cosine_similarity,atol,rtol,passed
tiny_manual_unmasked,numpy_manual,pytorch_manual,float32,1,1,2,2,none,2.384185791015625e-07,5.960464477539063e-08,1.4210854715202004e-14,0.9999999999999992,1e-06,1e-05,True
tiny_manual_unmasked,numpy_manual,pytorch_sdpa,float32,1,1,2,2,none,0.0,0.0,0.0,1.0,1e-06,1e-05,True
tiny_manual_unmasked,numpy_manual,keras_tensorflow_sdpa,float32,1,1,2,2,none,2.384185791015625e-07,5.960464477539063e-08,1.4210854715202004e-14,0.9999999999999992,1e-06,1e-05,True
seeded_multihead_unmasked,numpy_manual,pytorch_manual,float32,2,2,3,4,none,1.1920928955078125e-07,2.4563632905483246e-08,1.7738270343311176e-15,0.9999999999999979,1e-06,1e-05,True
seeded_multihead_unmasked,numpy_manual,pytorch_sdpa,float32,2,2,3,4,none,1.1920928955078125e-07,2.790087213118871e-08,1.7411564088668878e-15,0.9999999999999979,1e-06,1e-05,True
seeded_multihead_unmasked,numpy_manual,keras_tensorflow_sdpa,float32,2,2,3,4,none,1.1920928955078125e-07,2.332186947266261e-08,1.5749120757524437e-15,0.9999999999999981,1e-06,1e-05,True
seeded_multihead_additive_mask,numpy_manual,pytorch_manual,float32,1,2,3,4,additive_bias,5.960464477539063e-08,6.20881716410319e-09,3.3306690738754696e-16,1.0,1e-06,1e-05,True
seeded_multihead_additive_mask,numpy_manual,pytorch_sdpa,float32,1,2,3,4,additive_bias,5.960464477539063e-08,1.6763806343078613e-08,9.3443771239284e-16,0.9999999999999997,1e-06,1e-05,True
seeded_multihead_additive_mask,numpy_manual,keras_tensorflow_sdpa,float32,1,2,3,4,additive_bias,1.1920928955078125e-07,2.7318795522054035e-08,2.0909200297107114e-15,0.9999999999999992,1e-06,1e-05,True
projected_multihead_h1,numpy_manual,pytorch_manual,float32,1,1,3,4,none_projected_qkvo,3.5762786865234375e-07,1.2293457984924316e-07,2.385129131236378e-14,0.999999999999991,1e-06,1e-05,True
projected_multihead_h1,numpy_manual,pytorch_sdpa,float32,1,1,3,4,none_projected_qkvo,2.384185791015625e-07,1.3162692387898764e-07,2.1945408453423927e-14,0.9999999999999898,1e-06,1e-05,True
projected_multihead_h1,numpy_manual,keras_tensorflow_sdpa,float32,1,1,3,4,none_projected_qkvo,1.1920928955078125e-07,3.104408582051595e-08,2.535009239560774e-15,0.9999999999999988,1e-06,1e-05,True
projected_multihead_h4,numpy_manual,pytorch_manual,float32,1,4,3,4,none_projected_qkvo,4.172325134277344e-07,9.80993111928304e-08,1.7175497135646367e-14,0.9999999999999809,1e-06,1e-05,True
projected_multihead_h4,numpy_manual,pytorch_sdpa,float32,1,4,3,4,none_projected_qkvo,4.172325134277344e-07,8.769954244295756e-08,1.5295056887687508e-14,0.9999999999999822,1e-06,1e-05,True
projected_multihead_h4,numpy_manual,keras_tensorflow_sdpa,float32,1,4,3,4,none_projected_qkvo,3.5762786865234375e-07,8.81652037302653e-08,1.4714502764393938e-14,0.999999999999985,1e-06,1e-05,True
projected_multihead_h8,numpy_manual,pytorch_manual,float32,1,8,3,4,none_projected_qkvo,4.76837158203125e-07,1.0899384506046772e-07,1.9929826922173804e-14,0.9999999999999841,1e-06,1e-05,True
projected_multihead_h8,numpy_manual,pytorch_sdpa,float32,1,8,3,4,none_projected_qkvo,4.76837158203125e-07,1.1178781278431416e-07,2.0443883312221595e-14,0.9999999999999835,1e-06,1e-05,True
projected_multihead_h8,numpy_manual,keras_tensorflow_sdpa,float32,1,8,3,4,none_projected_qkvo,3.5762786865234375e-07,1.0752895226081212e-07,1.8955490569833495e-14,0.9999999999999847,1e-06,1e-05,True
