model_id,scenario,kind,comparison_group,optimization_scope,status,skip_reason,pruning_sparsity,observed_sparsity,perplexity,perplexity_increase_percent,logits_mse,logits_kl_divergence,top1_agreement,generated_token_agreement,storage_megabytes,quality_acceptable,canonical_source,canonical_source_priority,canonical_table,method_family,evidence_level,delta_ppl_le_2pct,delta_ppl_le_5pct,delta_ppl_le_10pct
facebook/opt-125m,baseline_bf16,baseline,bf16,none,complete,,0.0,0.0,42.37134003290558,0.0,0.0,0.0,1.0,1.0,238.875,True,modelos_opt_complementar_lacunas_2026-09-17,103,model_quality,baseline,reference,True,True,True
facebook/opt-125m,baseline_fp16,baseline,fp16,none,complete,,0.0,0.0,42.41112836044101,0.0,0.0,-1.4901161193847655e-09,1.0,1.0,238.875,True,modelos_opt_v1_2026-09-15,100,model_quality,baseline,reference,True,True,True
facebook/opt-125m,attention_pruning_10,pruning_magnitude,bf16,attention_only,complete,,0.1,0.0999993218315972,42.98215686906553,1.4415801711382898,0.0374164379201829,0.0125084152328781,1.0,0.6074818842113018,238.875,True,modelos_opt_complementar_lacunas_2026-09-17,103,model_quality,pruning_unstructured,A_numeric_change,True,True,True
facebook/opt-125m,attention_pruning_25,pruning_magnitude,bf16,attention_only,complete,,0.25,0.25,44.73474755587736,5.57784464955879,0.09753008056432,0.0319840651936829,0.9,0.2406923078000545,238.875,False,modelos_opt_complementar_lacunas_2026-09-17,103,model_quality,pruning_unstructured,A_numeric_change,False,False,True
facebook/opt-125m,attention_pruning_50,pruning_magnitude,bf16,attention_only,complete,,0.5,0.5,65.79627975836252,55.28486875153143,0.4041911289095878,0.1446427850052714,0.9,0.1730486110784113,238.875,False,modelos_opt_complementar_lacunas_2026-09-17,103,model_quality,pruning_unstructured,A_numeric_change,False,False,False
facebook/opt-125m,attention_pruning_75,pruning_magnitude,bf16,attention_only,complete,,0.75,0.75,622.1635710320973,1368.359439538436,2.4420596837997435,1.271493637561798,0.45,0.04453125,238.875,False,modelos_opt_complementar_lacunas_2026-09-17,103,model_quality,pruning_unstructured,A_numeric_change,False,False,False
facebook/opt-125m,attention_int8_fake,quantization_int8_fake_per_row,bf16,attention_only,complete,,0.0,0.0,42.31316136631652,-0.13730664771016,0.0030522507266141,0.0010801449388964,0.95,0.8517361111938954,238.875,True,modelos_opt_complementar_lacunas_2026-09-17,103,model_quality,int8_fake,A_numeric_change,True,True,True
facebook/opt-125m,blocks_pruning_50,pruning_magnitude,bf16,transformer_blocks,complete,,0.5,0.5,191.77824037958024,352.61311119885585,1.5390777170658112,0.7011539369821549,0.55,0.0901212366297841,238.875,False,modelos_opt_complementar_lacunas_2026-09-17,103,model_quality,pruning_unstructured,A_numeric_change,False,False,False
facebook/opt-125m,blocks_int8_fake,quantization_int8_fake_per_row,bf16,transformer_blocks,complete,,0.0,0.0,42.30881655126488,-0.14756078422854998,0.0047950364416465,0.0017839239706518,0.95,0.8549321345984936,238.875,True,modelos_opt_complementar_lacunas_2026-09-17,103,model_quality,int8_fake,A_numeric_change,True,True,True
facebook/opt-125m,attention_int8_weight_only,quantization_int8_weight_only,bf16,attention_only,complete,,0.0,0.0,42.332427045683055,-0.09183799047257,0.0029037348926067,0.0010267422010656,0.95,0.7884888283908367,211.9453125,True,modelos_opt_v1_2026-09-15,100,model_quality,int8_weight_only,B_physical_compression,True,True,True
facebook/opt-125m,attention_int8_dynamic,quantization_int8_dynamic,bf16,attention_only,complete,,0.0,0.0,42.74887177880589,0.8910073309154699,0.0214827178977429,0.0077452695230022,1.0,0.6047743055969477,211.9453125,True,modelos_opt_v1_2026-09-15,100,model_quality,int8_dynamic,C_physical_acceleration_candidate,True,True,True
facebook/opt-125m,blocks_int8_weight_only,quantization_int8_weight_only,bf16,transformer_blocks,complete,,0.0,0.0,42.28639878689986,-0.20046863266479,0.0046339315362274,0.0017913010262418,0.95,0.7936631940305233,158.033203125,True,modelos_opt_v1_2026-09-15,100,model_quality,int8_weight_only,B_physical_compression,True,True,True
facebook/opt-125m,blocks_int8_dynamic,quantization_int8_dynamic,bf16,transformer_blocks,complete,,0.0,0.0,42.86960076430135,1.17593810110516,0.0306692951358854,0.0122240293771028,0.95,0.4063368055969477,158.033203125,True,modelos_opt_v1_2026-09-15,100,model_quality,int8_dynamic,C_physical_acceleration_candidate,True,True,True
facebook/opt-125m,attention_pruning_2to4,pruning_2to4,fp16,attention_only,complete,,0.5,0.5,104.32565693829817,145.9865157362989,0.8103808015584946,0.3374305158853531,0.75,0.0858124999329447,215.25,False,modelos_opt_v1_2026-09-15,100,model_quality,pruning_2to4,C_physical_acceleration_candidate,False,False,False
facebook/opt-125m,blocks_pruning_2to4,pruning_2to4,fp16,transformer_blocks,complete,,0.5,0.5,425.6342252111862,903.5909009395672,2.910977029800415,1.3352907478809355,0.4,0.03359375,168.0,False,modelos_opt_v1_2026-09-15,100,model_quality,pruning_2to4,C_physical_acceleration_candidate,False,False,False
facebook/opt-350m,baseline_bf16,baseline,bf16,none,complete,,0.0,0.0,33.3448886831846,0.0,0.0,-1.4901161193847655e-09,1.0,1.0,631.70703125,True,modelos_opt_sensibilidade_350m_2026-09-19,105,model_quality,baseline,reference,True,True,True
facebook/opt-350m,baseline_fp16,baseline,fp16,none,complete,,0.0,0.0,33.332178990477665,0.0,0.0,7.450580596923829e-10,1.0,1.0,631.70703125,True,modelos_opt_v1_2026-09-15,100,model_quality,baseline,reference,True,True,True
