stage,operation,scenario,comparison_group,paired_cases,data_seeds,repetitions,speedup_mean,speedup_median,speedup_std,speedup_ci95_low,speedup_ci95_high,peak_memory_ratio_mean,peak_memory_ratio_median,peak_memory_ratio_ci95_low,peak_memory_ratio_ci95_high,storage_ratio_mean,mse_mean,mae_mean,r2_mean,cosine_similarity_mean,hardware_kernel_confirmed,performance_conclusion,canonical_source,canonical_source_priority,canonical_table
synthetic_numerical,dense_projection,int8_fake_per_row,fp32_dense,195,5,3,1.095568165524078,1.003330747011344,0.4776403677154055,0.9458505167638088,1.0849682881543843,1.0035672283754753,1.0,1.0,1.0,1.0,5.8541550537865303e-05,0.006022386160000661,0.9999456174757111,0.9999728107263408,False,mista,robustez_sintetica_v3_2026-09-13,10,operation_summary
synthetic_numerical,dense_projection,pruning_10,fp32_dense,195,5,3,1.0653312116518063,1.0379952025217536,0.38934851605186055,0.9535220039210721,1.0680247193211787,1.0034181294518354,1.0,1.0,1.0,1.0,0.0005676022079669261,0.018664219868732065,0.9994721778907317,0.9997360607645873,False,mista,robustez_sintetica_v3_2026-09-13,10,operation_summary
synthetic_numerical,dense_projection,pruning_25,fp32_dense,195,5,3,1.0394049951477078,1.0207728203444084,0.33556174624723184,0.9677087648030769,1.0512686377914224,1.0038900494780416,1.0,1.0,1.0,1.0,0.008983933733777682,0.074817322482942,0.9916453594122849,0.9958140017218426,False,mista,robustez_sintetica_v3_2026-09-13,10,operation_summary
synthetic_numerical,dense_projection,pruning_50,fp32_dense,195,5,3,1.0816574048138314,1.0171751450270063,0.4720562333873078,0.9539853171180143,1.0672929661165724,1.0038623280828374,1.0,1.0,1.0,1.0,0.07668846128679654,0.21919517834620075,0.9286593690594126,0.9636702834390435,False,mista,robustez_sintetica_v3_2026-09-13,10,operation_summary
synthetic_numerical,dense_projection,pruning_75,fp32_dense,195,5,3,1.0214960108641566,0.9822693581837592,0.29491902691980737,0.9499621992306431,1.0292817429161718,1.0008388883093542,1.0,1.0,1.0,1.0,0.29705092195428084,0.4318263172528497,0.7236573020583956,0.850683180569161,False,mista,robustez_sintetica_v3_2026-09-13,10,operation_summary
synthetic_numerical,multi_head_self_attention,int8_fake_per_row,fp32_dense,195,5,3,1.0156344427609199,0.9950767586201602,0.26764395780403616,0.9600522460479355,1.0147655758277954,0.9996326508548247,1.0,1.0,1.0,1.0,1.3487045600321514e-05,0.002099912617351134,0.9997735991443532,0.9998869089800433,False,mista,robustez_sintetica_v3_2026-09-13,10,operation_summary
synthetic_numerical,multi_head_self_attention,pruning_10,fp32_dense,195,5,3,1.0453713827327662,0.9987364618642364,0.37642478952763475,0.9713300454502615,1.0269787264209806,1.0011017218951181,1.0,1.0,1.0,1.0,0.0001284933542864484,0.0065381979475888875,0.9978114604575067,0.998906020540505,False,mista,robustez_sintetica_v3_2026-09-13,10,operation_summary
synthetic_numerical,multi_head_self_attention,pruning_25,fp32_dense,195,5,3,1.013453598728309,0.9968719126789953,0.3172219870608207,0.9655663696669271,1.0242623657121153,1.0025314580830413,1.0,1.0,1.0,1.0,0.00200308864306968,0.02585127934029826,0.9657889262546822,0.982757074816113,False,mista,robustez_sintetica_v3_2026-09-13,10,operation_summary
synthetic_numerical,multi_head_self_attention,pruning_50,fp32_dense,195,5,3,1.0474317871437513,1.01495341771207,0.31895376320809044,0.9807936078355456,1.0427603675676265,1.0023020997730234,1.0,1.0,1.0,1.0,0.014254143931808924,0.07043673533541335,0.7419181490896163,0.8612685968204358,False,mista,robustez_sintetica_v3_2026-09-13,10,operation_summary
synthetic_numerical,multi_head_self_attention,pruning_75,fp32_dense,195,5,3,1.0369828759109947,0.9935109978743804,0.30869254617706837,0.960711410934112,1.028888221584297,1.0010857641907904,1.0,1.0,1.0,1.0,0.033942610072568165,0.1133695371240461,0.30550239069837604,0.5513312238575542,False,mista,robustez_sintetica_v3_2026-09-13,10,operation_summary
synthetic_hardware,dense_projection,int8_dynamic,bf16_quantized,165,5,3,0.8235669933740137,0.8080532705856545,0.17480456091500424,0.7788354591636246,0.8228307103129354,0.8604013233729636,0.8014820592823713,0.7286271727562965,0.8129575402635432,0.5037587562653854,0.00012441963546490085,0.00866106736521575,0.9998756165670603,0.999937814694712,True,contradita,hardware_nativo_v3_2026-09-14,11,operation_summary
synthetic_hardware,dense_projection,int8_weight_only,bf16_quantized,165,5,3,0.22869064338186132,0.1360830044683104,0.23614677312346385,0.1005054244306183,0.17203150949731963,0.8554801851646444,0.8014820592823713,0.7286271727562965,0.8040435458786936,0.5037587562653854,7.027662415548847e-05,0.006383738218210968,0.9999297406757417,0.9999648762155282,False,contradita,hardware_nativo_v3_2026-09-14,11,operation_summary
synthetic_hardware,dense_projection,pruning_2to4,fp16_sparse,165,5,3,0.8206269823997969,0.8234644295956508,0.15558567491042485,0.8015159572039815,0.8498304296979117,0.8835972589515867,0.8252730109204368,0.773371104815864,0.8907317073170732,0.5635963039107375,0.13254833002517089,0.29002324602887175,0.8674593756182852,0.9313763024015475,True,contradita,hardware_nativo_v3_2026-09-14,11,operation_summary
synthetic_hardware,multi_head_self_attention,int8_dynamic,bf16_quantized,165,5,3,0.7053890286689993,0.6496612483476129,0.2968912117738998,0.6237960740335675,0.6734333565977082,0.690679649246468,0.6386226482073127,0.6265560165975104,0.6425531914893617,0.5025153882575758,1.0219710849964266e-05,0.002437811527609071,0.9995039044384018,0.9997521833255996,True,contradita,hardware_nativo_v3_2026-09-14,11,operation_summary
synthetic_hardware,multi_head_self_attention,int8_weight_only,bf16_quantized,165,5,3,0.12974515427763125,0.09653651864324622,0.09730856726192638,0.08614598403659472,0.11056428421523971,0.6968637067999,0.6386226482073127,0.6265560165975104,0.6676973148901546,0.5025153882575758,5.844139878579056e-06,0.0018410311351163056,0.999714010836401,0.9998571633004815,False,contradita,hardware_nativo_v3_2026-09-14,11,operation_summary
synthetic_hardware,multi_head_self_attention,pruning_2to4,fp16_sparse,165,5,3,0.6785490219080994,0.6446714008376214,0.32669570165232964,0.5713697769844833,0.6926473299207452,0.7591053895376291,0.7276595744680852,0.6822695035460993,0.7500697350069735,0.5625,0.008499076038401193,0.0708194578686261,0.5881088841544603,0.7670611444711666,True,contradita,hardware_nativo_v3_2026-09-14,11,operation_summary
synthetic_hardware,dense_projection,int8_dynamic,bf16_quantized,30,5,3,0.7883958336394079,0.7891337706900887,0.18922602215313378,0.773215372055752,0.82064107480184,0.8125289510930241,0.8014820592823713,0.8014820592823713,0.8014820592823713,0.5029239766081871,0.000818248380847674,0.01841870604220044,0.9995645588492234,0.9997822540553102,True,contradita,hardware_stress_complementar_v3_2026-09-17,12,operation_summary
