model_id,scenario,kind,comparison_group,optimization_scope,status,skip_reason,pruning_sparsity,observed_sparsity,perplexity,perplexity_increase_percent,logits_mse,logits_kl_divergence,top1_agreement,generated_token_agreement,storage_megabytes,quality_acceptable,canonical_source,canonical_source_priority,canonical_table,canonical_duplicate_resolution
facebook/opt-125m,baseline_bf16,baseline,bf16,none,complete,,0.0,0.0,42.37134003290558,0.0,0.0,0.0,1.0,1.0,238.875,True,modelos_opt_v1_2026-09-15,100,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-125m,attention_pruning_10,pruning_magnitude,bf16,attention_only,complete,,0.1,0.0999993218315972,42.98215686906553,1.4415801711382898,0.0374164379201829,0.0125084152328781,1.0,0.6074818842113018,238.875,True,modelos_opt_v1_2026-09-15,100,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-125m,attention_pruning_25,pruning_magnitude,bf16,attention_only,complete,,0.25,0.25,44.73474755587736,5.57784464955879,0.09753008056432,0.0319840651936829,0.9,0.2406923078000545,238.875,False,modelos_opt_v1_2026-09-15,100,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-125m,attention_pruning_50,pruning_magnitude,bf16,attention_only,complete,,0.5,0.5,65.79627975836252,55.28486875153143,0.4041911289095878,0.1446427850052714,0.9,0.1730486110784113,238.875,False,modelos_opt_v1_2026-09-15,100,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-125m,attention_pruning_75,pruning_magnitude,bf16,attention_only,complete,,0.75,0.75,622.1635710320973,1368.359439538436,2.4420596837997435,1.271493637561798,0.45,0.04453125,238.875,False,modelos_opt_v1_2026-09-15,100,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-125m,attention_int8_fake,quantization_int8_fake_per_row,bf16,attention_only,complete,,0.0,0.0,42.31316136631652,-0.13730664771016,0.0030522507266141,0.0010801449388964,0.95,0.8517361111938954,238.875,True,modelos_opt_v1_2026-09-15,100,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-125m,blocks_pruning_50,pruning_magnitude,bf16,transformer_blocks,complete,,0.5,0.5,191.77824037958024,352.61311119885585,1.5390777170658112,0.7011539369821549,0.55,0.0901212366297841,238.875,False,modelos_opt_v1_2026-09-15,100,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-125m,blocks_int8_fake,quantization_int8_fake_per_row,bf16,transformer_blocks,complete,,0.0,0.0,42.30881655126488,-0.14756078422854998,0.0047950364416465,0.0017839239706518,0.95,0.8549321345984936,238.875,True,modelos_opt_v1_2026-09-15,100,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-350m,baseline_bf16,baseline,bf16,none,complete,,0.0,0.0,33.3448886831846,0.0,0.0,-1.4901161193847655e-09,1.0,1.0,631.70703125,True,modelos_opt_v1_2026-09-15,100,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-350m,attention_pruning_10,pruning_magnitude,bf16,attention_only,complete,,0.1,0.1000003814697265,33.96806740268382,1.86888828875737,0.239939284324646,0.0225957466289401,1.0,0.3347368434071541,631.70703125,True,modelos_opt_v1_2026-09-15,100,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-350m,attention_pruning_25,pruning_magnitude,bf16,attention_only,complete,,0.25,0.25,35.29329510717435,5.843193667556941,0.8202111385762691,0.0499269971624016,0.9,0.2341550381854176,631.70703125,False,modelos_opt_v1_2026-09-15,100,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-350m,attention_pruning_50,pruning_magnitude,bf16,attention_only,complete,,0.5,0.5,50.66751305259748,51.94986414259184,2.588002555072308,0.2506359461694956,0.85,0.1924780700355768,631.70703125,False,modelos_opt_v1_2026-09-15,100,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-350m,attention_pruning_75,pruning_magnitude,bf16,attention_only,complete,,0.75,0.75,565.4300062305973,1595.7021857318011,44.84745517969132,1.216581892967224,0.4,0.0456030700355768,631.70703125,False,modelos_opt_v1_2026-09-15,100,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-350m,attention_int8_fake,quantization_int8_fake_per_row,bf16,attention_only,complete,,0.0,0.0,33.34848825851116,0.01079498378524,0.0059872819809243,0.0009841065621003,1.0,0.8519208163022995,631.70703125,True,modelos_opt_v1_2026-09-15,100,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-350m,blocks_pruning_50,pruning_magnitude,bf16,transformer_blocks,complete,,0.5,0.5,131.1549505249908,293.3285001222108,10.22776499390602,0.5687209114432334,0.55,0.0686732459813356,631.70703125,False,modelos_opt_v1_2026-09-15,100,model_quality,replaced_by_higher_or_equal_priority
facebook/opt-350m,blocks_int8_fake,quantization_int8_fake_per_row,bf16,transformer_blocks,complete,,0.0,0.0,33.360011225982284,0.0453519066786,0.0124626119155436,0.0012836089823395,1.0,0.7760279595851898,631.70703125,True,modelos_opt_v1_2026-09-15,100,model_quality,replaced_by_higher_or_equal_priority
